,name,surname,salary
0,Richard,Black,10000
1,Albert,Goodman,10500
2,William,White,10000
3,Richard,Goodman,11000
4,John,Joneson,15000
5,Richard,Joneson,10500
6,Henry,Green,10000
7,William,Joneson,14500
8,Henry,Goodman,10500
9,Albert,White,10000
10,William,Goodman,14500
11,Henry,Joneson,14500
12,Albert,White,10000
13,Richard,White,12500
14,John,Black,14000
15,Albert,Joneson,11500
16,Albert,Black,14500
17,John,White,12500
18,William,Goodman,10000
19,Albert,Joneson,10500
20,Henry,White,11500
21,William,Black,12500
22,William,Black,11000
23,William,Green,14500
24,William,Goodman,10000
25,Albert,Goodman,11000
26,William,Joneson,12500
27,William,Goodman,12500
28,John,White,11500
29,John,Black,10500
30,William,Green,10000
31,William,Green,10000
32,Richard,White,12500
33,Henry,Green,10000
34,Albert,Black,11000
35,John,Joneson,11000
36,Henry,Joneson,12500
37,John,White,15000
38,Henry,White,10000
39,William,Black,14500
40,Richard,White,10500
41,Richard,Black,14500
42,Albert,White,14000
43,William,Goodman,10000
44,Henry,White,10000
45,Albert,Goodman,11000
46,Henry,Black,14000
47,Albert,Black,14500
48,Richard,Black,12500
49,Albert,Goodman,11000
